Sample,vglut2-: vgat+ Cell Density (cells/mm^2),vglut2-: vgat+ Cell Count,vglut2-: vgat+ Cell Area (mm^2),vglut2-: vgat+ Cell Percentage,vglut2-: vgat+ Intensity,vglut2+: vgat- Cell Density (cells/mm^2),vglut2+: vgat- Cell Count,vglut2+: vgat- Cell Area (mm^2),vglut2+: vgat- Cell Percentage,vglut2+: vgat- Intensity,Double Positive Cell Density (cells/mm^2),Double Positive Cell Count,Double Positive Cell Area (mm^2),Double Positive Cell Percentage,Total Cell Area (mm^2),Total Annotation Area (mm^2)
2023_06_23__RecognizedCode-2.czi - Scene #1.csv,2693.822712819024,645,0.15632471650000002,64.17910447761194,715.2496939534884,1340.646652426212,321,0.0732091063,31.94029850746269,248.6310370716511,162.88230356580146,39,0.009902869499999998,3.880597014925373,0.2394366923,0.8983833
2023_06_23__RecognizedCode-2.czi - Scene #2.csv,3104.1508617461527,696,0.1657627743,74.43850267379679,823.0796057471265,1057.0168882670089,237,0.057911080000000004,25.3475935828877,276.32280000000003,8.919973740649864,2,0.0005420524,0.21390374331550802,0.2242159067,0.8206131
2023_06_23__RecognizedCode-2.czi - Scene #3.csv,2904.4060243715376,431,0.1049359371,71.00494233937397,825.5436357308586,1152.3281442402156,171,0.0418561136,28.171334431630974,278.7794953216374,33.693805387140806,5,0.0016031793,0.8237232289950577,0.14839523000000002,0.553944
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,3418.4496730419637,205,0.0562781643,93.18181818181817,546.9672936585365,250.1304638811193,15,0.0036905407,6.8181818181818175,129.91264666666666,0.0,0,0,0.0,0.059968705000000004,0.3973098
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,3690.387157107434,419,0.10804008610000002,94.79638009049773,497.05343293556086,202.5749513447995,23,0.0054981369000000006,5.203619909502263,123.8356347826087,0.0,0,0,0.0,0.11353822300000002,0.5127907
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,3566.303722834168,690,0.18366236360000002,94.39124487004104,410.084565652174,196.40513256188171,38,0.0090194237,5.198358413132695,120.28373684210527,15.505668360148556,3,0.0007958449,0.4103967168262654,0.19347763220000003,0.8513356999999999
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,3213.5193174641386,521,0.1392625791,84.99184339314844,407.83905105566214,555.118500137759,90,0.0223712844,14.681892332789559,117.83491666666664,12.335966669727979,2,0.0004936821999999999,0.3262642740619902,0.16212754570000001,0.9444796999999999
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,3213.7313463391583,646,0.1668962887,82.39795918367348,531.2468339009288,671.6002039563257,135,0.033428142099999995,17.21938775510204,128.16013703703703,14.924448976807238,3,0.0006880156,0.3826530612244898,0.20101244640000002,0.9780783000000001
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,3512.2541219390087,1072,0.2677226864,87.15447154471545,511.43312845149256,494.72982501193127,151,0.0357253857,12.276422764227641,143.06865298013247,22.934495199228603,7,0.0017690229,0.5691056910569106,0.305217095,1.337331
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,3084.167056901582,284,0.0730593523,81.37535816618912,367.0180154929577,705.8833052767706,65,0.0190238568,18.624641833810887,105.65450461538462,0.0,0,0,0.0,0.09208320910000001,0.7010550999999999
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,3110.1724413485363,361,0.0926253277,79.86725663716814,366.65121717451524,775.3892513057293,90,0.0232118363,19.911504424778762,113.53834777777779,8.615436125619214,1,0.00023357060000000002,0.22123893805309736,0.11607073459999999,0.7747094
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,3388.1861164961165,289,0.0804074356,93.52750809061489,911.0856404844291,222.7527204616824,19,0.004485547899999999,6.148867313915858,160.46552105263154,11.723827392720127,1,0.00040339339999999997,0.3236245954692557,0.08529637689999998,0.39524010000000004
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,3551.6505093049127,321,0.0858196048,94.41176470588235,939.7754987538941,199.15797248438764,18,0.004267256499999999,5.294117647058823,130.21959444444443,11.064331804688202,1,0.0002936531,0.29411764705882354,0.0903805144,0.37658590000000003
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,3460.5693278663525,443,0.11694766819999998,90.77868852459017,700.0305864559818,343.7134321131366,44,0.010838464699999998,9.01639344262295,143.27763863636363,7.811668911662196,1,0.0002274851,0.20491803278688525,0.128013618,0.5441385
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,3458.3711051784667,487,0.1198886338,84.69565217391303,776.4775852156058,603.617133347371,85,0.0202854424,14.782608695652174,154.86561647058824,21.304134118142507,3,0.0006436629,0.5217391304347827,0.1408177391,0.6313321999999999
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,3553.8174789130276,440,0.11410723760000001,91.8580375782881,766.9825827272728,314.99745835820016,39,0.009703285200000002,8.1419624217119,160.1648435897436,0.0,0,0,0.0,0.12381052280000002,0.5064184
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,3390.288250267976,652,0.16857543769999997,86.93333333333332,652.0881714723927,478.3842316329046,92,0.0222311234,12.266666666666666,140.87033695652175,31.198971628232908,6,0.0015074700000000001,0.8,0.19231403109999998,0.7031261999999999
2024_06_25__RecognizedCode-17.czi - Scene #2.csv,3170.21558469541,157,0.0387646995,76.9607843137255,807.3776337579618,888.4680619528538,44,0.010121154399999999,21.568627450980394,179.57382727272727,60.57736786042185,3,0.000637592,1.4705882352941175,0.0495234459,0.24185
2024_06_25__RecognizedCode-17.czi - Scene #3.csv,3368.0118114163474,268,0.06481891349999999,80.72289156626506,615.6019276119404,791.7341198478726,63,0.014602048599999999,18.97590361445783,146.4269714285714,12.567208251553534,1,0.0001512054,0.30120481927710846,0.0795721675,0.4423635
2024_06_25__RecognizedCode-17.czi - Scene #4.csv,3268.9636576502676,268,0.065458251,79.28994082840237,748.888254477612,829.4385400008141,68,0.0159537977,20.118343195266274,137.30008088235292,24.395251176494533,2,0.0005711203,0.591715976331361,0.081983169,0.4544136
2024_06_25__RecognizedCode-19.czi - Scene #1.csv,486.3035735176795,40,0.0116420711,12.618296529968454,648.5084050000002,3343.337067934047,275,0.0698070923,86.75078864353313,228.12219781818183,24.315178675883978,2,0.000803985,0.6309148264984227,0.08225314839999999,0.3829497
2024_06_25__RecognizedCode-19.czi - Scene #2.csv,980.1463206139684,87,0.023853896500000003,26.769230769230766,719.4335885057471,2636.2556209617082,234,0.063811752,72.0,276.0021794871795,45.064198648918094,4,0.0010966088999999999,1.2307692307692308,0.0887622574,0.5086362
2024_06_25__RecognizedCode-19.czi - Scene #3.csv,1264.6089165696199,213,0.0524331906,31.602373887240354,678.262845539906,2695.4575029230396,454,0.1143519268,67.35905044510386,233.89116938325992,41.55991744594995,7,0.0016464009999999998,1.0385756676557862,0.1684315184,0.7574337
2024_06_25__RecognizedCode-19.czi - Scene #4.csv,735.2939167318331,155,0.040237981699999995,18.742442563482467,615.0126561290324,3183.1110846907095,671,0.1703393996,81.136638452237,277.54231445603574,4.743831720850536,1,0.0002226763,0.12091898428053204,0.21080005759999998,0.9809445999999999
2024_06_25__RecognizedCode-19.czi - Scene #5.csv,518.6191238533197,55,0.0145938,13.480392156862745,589.9566945454545,3290.8740768147018,349,0.0904282611,85.5392156862745,241.22265787965614,37.71775446205962,4,0.0010287910000000003,0.9803921568627451,0.10605085210000001,0.5423715
